"Name","Country","Age","Height, cm","Weight","Sex","Date of birth","Gold","Silver","Bronze","Total","Sport"
"Andrea Cedron Rodriguez","Peru","18","169","62","F","12/24/1993","0","0","0","0","Swimming"
"Mario Cejas","Argentina","34","181","75","M","8/28/1977","0","0","0","0","Rowing"
"Zamandosi Cele","South Africa","21","160","56","F","12/26/1990","0","0","0","0","Football"
"Jan Celustka","Czech Republic","30","184","70","M","3/22/1982","0","0","0","0","Triathlon"
"Damien Cely","France","23","163","75","M","4/13/1989","0","0","0","0","Diving"
"Matthew Centrowitz","United States of America","22","175","60","M","10/18/1989","0","0","0","0","Athletics"
"Veronica Cepede Royg","Paraguay","20","163","66","F","1/21/1992","0","0","0","0","Tennis"
"Matjaz Ceraj","Slovenia","28","198","111","M","9/14/1983","0","0","0","0","Judo"
"Natalia Cerches","Republic of Moldova","36","170","55","F","2/21/1976","0","0","0","0","Athletics"
"Tales Cerdeira","Brazil","25","183","77","M","1/21/1987","0","0","0","0","Swimming"
"Deniss Cerkovskis","Latvia","33","180","76","M","11/2/1978","0","0","0","0","Modern Pentathlon"
"Teja Cerne","Slovenia","27","174","65","F","9/29/1984","0","0","0","0","Sailing"
"Giovanni Cernogoraz","Croatia","29","","","M","12/27/1982","0","0","0","0","Shooting"
"Juan Ignacio Cerra","Argentina","35","180","100","M","10/16/1976","0","0","0","0","Athletics"
"Alison Cerutti","Brazil","26","203","110","M","12/7/1985","0","0","0","0","Beach Volleyball"
"Fabio Cerutti","Italy","26","190","83","M","9/26/1985","0","0","0","0","Athletics"
"Michelle Cesan","United States of America","21","173","66","F","3/18/1991","0","0","0","0","Hockey"
"Maja Cesar","Slovenia","22","177","63","F","4/18/1990","0","0","0","0","Swimming"
"Nina Cesar","Slovenia","22","180","68","F","4/18/1990","0","0","0","0","Swimming"
"Claudia Cesarini","Italy","25","177","58","F","8/4/1986","0","0","0","0","Modern Pentathlon"
"Petra Cetkovska","Czech Republic","27","172","64","F","2/8/1985","0","0","0","0","Tennis"
"Dennis Ceylan","Denmark","23","175","","M","3/3/1989","0","0","0","0","Boxing"
"Dongmin Cha","Republic of Korea","25","189","","M","8/24/1986","0","0","0","0","Taekwondo"
"Jong Bok Cha","Republic of Korea","32","179","75","M","1/29/1980","0","0","0","0","Hockey"
"Sena Cha","Republic of Korea","26","162","58","F","5/15/1986","0","0","0","0","Hockey"
"Benjamin Chabanet","France","23","189","85","M","11/4/1988","0","0","0","0","Rowing"
"Elise Chabbey","Switzerland","19","164","56","F","4/24/1993","0","0","0","0","Canoe Slalom"
"Marcin Chabowski","Poland","26","174","56","M","6/28/1986","0","0","0","0","Athletics"
"Rosa Chacha","Ecuador","29","155","45","F","12/8/1982","0","0","0","0","Athletics"
"Leonardo Chacon","Costa Rica","28","179","67","M","6/29/1984","0","0","0","0","Triathlon"
"Abdelkader Chadi","Algeria","25","175","","M","12/12/1986","0","0","0","0","Boxing"
"Paulo Henrique Chagas De Lima","Brazil","22","184","78","M","10/12/1989","0","0","0","0","Football"
"Biao Chai","People's Republic of China","21","184","70","M","10/10/1990","0","0","0","0","Badminton"
"Viktoria Chaika","Belarus","31","170","52","F","12/26/1980","0","0","0","0","Shooting"
"Rushmi Chakarvarthi","India","34","","","F","9/10/1977","0","0","0","0","Tennis"
"Margalita Chakhnashvili","Georgia","29","172","58","F","12/9/1982","0","0","0","0","Tennis"
"Dirkie Chamberlain","South Africa","25","169","68","F","11/3/1986","0","0","0","0","Hockey"
"Dwain Chambers","Great Britain","34","","","M","4/5/1978","0","0","0","0","Athletics"
"Peter Chambers","Great Britain","22","187","73","M","3/14/1990","0","1","0","1","Rowing"
"Richard Chambers","Great Britain","27","183","74","M","6/10/1985","0","1","0","1","Rowing"
"Miles Chamley-Watson","United States of America","22","193","88","M","12/3/1989","0","0","0","0","Fencing"
"Ludovic Chammartin","Switzerland","27","168","60","M","1/31/1985","0","0","0","0","Judo"
"Caren Chammas","Lebanon","19","169","63","F","6/29/1993","0","0","0","0","Judo"
"Chun Hing Chan","Hong Kong, China","31","175","59","M","4/24/1981","0","0","0","0","Cycling - Mountain Bike, Cycling - Road"
"Hei Man Hayley Victoria Chan","Hong Kong, China","21","166","60","F","1/10/1991","0","0","0","0","Sailing"
"Peng Soon Chan","Malaysia","24","175","68","M","4/27/1988","0","0","0","0","Badminton"
"Seyha Chan","Cambodia","17","165","60","F","8/9/1994","0","0","0","0","Athletics"
"Gurwinder Singh Chandi","India","22","","","M","10/20/1989","0","0","0","0","Hockey"
"Tyson Chandler","United States of America","29","216","109","M","10/2/1982","0","0","0","0","Basketball"
"Gyucheol Chang","Republic of Korea","20","183","83","M","6/11/1992","0","0","0","0","Swimming"
"Hao Chang","Taipei (Chinese Taipei)","21","172","72","M","11/14/1990","0","0","0","0","Sailing"
"Ming-Huang Chang","Taipei (Chinese Taipei)","29","193","140","M","8/7/1982","0","0","0","0","Athletics"
"Si Chang","People's Republic of China","25","170","","F","11/15/1986","0","0","0","0","Synchronised Swimming"
"Chia-Che Chang","Taipei (Chinese Taipei)","29","173","56","M","4/22/1983","0","0","0","0","Athletics"
"Soniya Chanu Ngangbam","India","32","149","48","F","2/15/1980","0","0","0","0","Weightlifting"
"Candace Marie Chapman","Canada","29","169","64","F","4/2/1983","0","0","0","0","Football"
"David J Chapman","Australia","47","165","70","M","3/22/1965","0","0","0","0","Shooting"
"Hayley Chapman","Australia","20","168","54","F","1/19/1992","0","0","0","0","Shooting"
"James Chapman","Australia","32","190","90","M","11/2/1979","0","0","0","0","Rowing"
"Emmie Charayron","France","22","160","50","F","1/17/1990","0","0","0","0","Triathlon"
"Germain Chardin","France","29","192","92","M","5/15/1983","0","1","0","1","Rowing"
"Illia Charheika","Belarus","19","178","71","M","4/15/1993","0","0","0","0","Shooting"
"Liubou Charkashyna","Belarus","24","173","","F","12/23/1987","0","0","0","0","Gymnastics - Rhythmic"
"Afia Charles","Antigua and Barbuda","20","","","F","7/22/1992","0","0","0","0","Athletics"
"Peter Charles","Great Britain","52","175","78","M","1/18/1960","0","0","0","0","Equestrian"
"Tina Charles","United States of America","23","191","88","F","12/5/1988","0","0","0","0","Basketball"
"Cedric Charlier","Belgium","24","180","79","M","11/27/1987","0","0","0","0","Hockey"
"Natalia Charlos","Poland","19","173","62","F","5/31/1993","0","0","0","0","Swimming"
"Samantha Charlton","New Zealand","20","174","66","F","12/7/1991","0","0","0","0","Hockey"
"Andrew Charter","Australia","25","182","92","M","3/30/1987","0","0","0","0","Hockey"
"Renee Chatterton","Australia","22","185","78","F","8/21/1989","0","0","0","0","Rowing"
"Theodoros Chatzitheodorou","Greece","35","190","100","M","10/1/1976","0","0","0","0","Water Polo"
"Garima Chaudhary","India","22","","62","F","4/2/1990","0","0","0","0","Judo"
"Anastasia Chaun","Russian Federation","23","175","58","F","9/11/1988","0","0","0","0","Swimming"
"Sylvain Chavanel","France","33","181","70","M","6/30/1979","0","0","0","0","Cycling - Road"
"Darvin Chavez","Mexico","22","177","74","M","11/21/1989","0","0","0","0","Football"
"Erika Chavez","Ecuador","22","170","56","F","6/4/1990","0","0","0","0","Athletics"
"Arantxa Chavez Munoz","Mexico","21","157","59","F","1/30/1991","0","0","0","0","Diving"
"Nikolay Chavkin","Russian Federation","28","189","74","M","4/24/1984","0","0","0","0","Athletics"
"Iurii Cheban","Ukraine","26","186","95","M","7/5/1986","0","0","0","0","Canoe Sprint"
"Radhouane Chebbi","Tunisia","26","186","117","M","8/8/1985","0","0","0","0","Wrestling"
"Nihel Cheikh Rouhou","Tunisia","25","164","78","F","1/5/1987","0","0","0","0","Judo"
"Diana Maria Chelaru","Romania","18","150","","F","8/15/1993","0","0","1","1","Gymnastics - Artistic"
"Anthony Chemut","Kenya","19","161","68","M","12/17/1992","0","0","0","0","Athletics"
"Jianghua Chen","People's Republic of China","23","188","80","M","3/12/1989","0","0","0","0","Basketball"
"Jin Chen","People's Republic of China","26","181","67","M","1/10/1986","0","0","0","0","Badminton"
"Jinyan Chen","People's Republic of China","24","166","65","F","1/22/1988","0","0","0","0","Fencing"
"Long Chen","People's Republic of China","23","187","75","M","1/18/1989","0","0","0","0","Badminton"
"Nan Chen","People's Republic of China","29","197","83","F","1/8/1983","0","0","0","0","Basketball"
"Qian Chen","People's Republic of China","25","163","54","F","1/14/1987","0","0","0","0","Modern Pentathlon"
"Qian Chen","People's Republic of China","19","175","58","F","4/16/1993","0","0","0","0","Swimming"
"Ruolin Chen","People's Republic of China","19","158","47","F","12/12/1992","1","0","0","1","Diving"
"Shih-Chieh Chen","Taipei (Chinese Taipei)","22","187","140","M","11/27/1989","0","0","0","0","Weightlifting"
"Szu-Yu Chen","Taipei (Chinese Taipei)","19","163","56","F","8/1/1993","0","0","0","0","Table Tennis"
"Weiwu Chen","People's Republic of China","23","192","88","M","4/19/1989","0","0","0","0","Swimming"
"Weixing Chen","Austria","40","173","74","M","4/27/1972","0","0","0","0","Table Tennis"
"Xiaodong Chen","People's Republic of China","24","179","69","F","1/11/1988","0","0","0","0","Fencing"
"Xiaojun Chen","People's Republic of China","20","167","","F","8/3/1992","0","0","0","0","Synchronised Swimming"
"Xiaoli Chen","People's Republic of China","30","193","78","F","2/20/1982","0","0","0","0","Basketball"
"Yibing Chen","People's Republic of China","27","160","","M","12/19/1984","1","0","0","1","Gymnastics - Artistic"
"Yin Chen","People's Republic of China","26","182","76","M","3/29/1986","0","0","0","0","Swimming"
"Ying Chen","People's Republic of China","34","164","75","F","11/4/1977","0","1","0","1","Shooting"
"Yu-Cheng Chen","Taipei (Chinese Taipei)","19","180","72","M","10/6/1992","0","0","0","0","Archery"
"Zuo Chen","People's Republic of China","30","186","79","M","1/19/1982","0","0","0","0","Swimming"
"Cheng Chen","People's Republic of China","20","184","77","M","2/10/1992","0","0","0","0","Swimming"
"Chieh Chen","Taipei (Chinese Taipei)","20","181","65","M","5/8/1992","0","0","0","0","Athletics"
"Ding Chen","People's Republic of China","19","180","62","M","8/5/1992","0","0","0","0","Athletics"
"Fei Chen","People's Republic of China","21","170","70","F","10/30/1990","0","0","0","0","Judo"
"Hung Ling Chen","Taipei (Chinese Taipei)","26","177","68","M","2/10/1986","0","0","0","0","Badminton"
"I-Chuan Chen","Taipei (Chinese Taipei)","21","168","56","F","1/20/1991","0","0","0","0","Swimming"
"Lauren Cheney","United States of America","24","173","70","F","9/30/1987","0","0","0","0","Football"
"Changsong Cheng","People's Republic of China","27","177","82","M","4/11/1985","0","0","0","0","Cycling - Track"
"Chu Sian Cheng","Malaysia","26","182","94","M","3/1/1986","0","0","0","0","Archery"
"Colin Cheng","Singapore","22","175","80","M","9/10/1989","0","0","0","0","Sailing"
"Feiyi Cheng","People's Republic of China","21","179","73","M","1/6/1991","0","0","0","0","Swimming"
"Ming Cheng","People's Republic of China","26","165","65","F","2/11/1986","0","1","0","1","Archery"
"Shao Chieh Cheng","Taipei (Chinese Taipei)","26","158","49","F","1/4/1986","0","0","0","0","Badminton"
"Wan-Jung Cheng","Taipei (Chinese Taipei)","24","160","50","F","2/22/1988","0","0","0","0","Swimming"
"Wen Cheng","People's Republic of China","23","188","76","M","4/6/1989","0","0","0","0","Athletics"
"Wen Hsing Cheng","Taipei (Chinese Taipei)","30","166","61","F","2/24/1982","0","0","0","0","Badminton"
"Eunbi Cheon","Republic of Korea","20","162","58","F","2/7/1992","0","0","0","0","Hockey"
"Seul Ki Cheon","Republic of Korea","23","166","72","F","1/28/1989","0","0","0","0","Hockey"
"Jun Hoong Cheong","Malaysia","22","150","48","F","4/16/1990","0","0","0","0","Diving"
"Robin Cheong","New Zealand","23","163","","F","12/16/1988","0","0","0","0","Taekwondo"
"Joyce Chepkirui","Kenya","23","","","F","8/20/1988","0","0","0","0","Athletics"
"Nixon Kiplimo Chepseba","Kenya","21","185","66","M","12/12/1990","0","0","0","0","Athletics"
"Alexey Cheremisinov","Russian Federation","27","180","78","M","7/9/1985","0","0","0","0","Fencing"
"Yuliya Chermoshanskaya","Russian Federation","26","174","65","F","1/6/1986","0","0","0","0","Athletics"
"Svitlana Cherniavska","Ukraine","28","176","103","F","2/12/1984","0","0","0","0","Weightlifting"
"Olga Chernoivanenko","Russian Federation","23","176","70","F","4/17/1989","0","0","0","0","Handball"
"Issam Chernoubi","Morocco","24","189","","M","12/17/1987","0","0","0","0","Taekwondo"
"Tatyana Chernova","Russian Federation","24","190","70","F","1/29/1988","0","0","0","0","Athletics"
"Janet Cherobon-Bawcom","United States of America","33","170","52","F","8/22/1978","0","0","0","0","Athletics"
"Vivian Jepkemoi Cheruiyot","Kenya","28","160","39","F","9/11/1983","0","0","0","0","Athletics"
"Igor Chervynskiy","Ukraine","30","180","78","M","12/16/1981","0","0","0","0","Swimming"
"Andrew Chetcuti","Malta","19","177","73","M","11/19/1992","0","0","0","0","Swimming"
"William Chetcuti","Malta","27","176","87","M","1/7/1985","0","0","0","0","Shooting"
"Bharat Kumar Chetri","India","30","","","M","12/15/1981","0","0","0","0","Hockey"
"Chi Yip Cheung","Hong Kong, China","25","175","72","M","12/26/1986","0","0","0","0","Judo"
"Seba Chevallier","Switzerland","25","193","88","M","7/14/1987","0","0","0","0","Beach Volleyball"
"Samantha Cheverton","Canada","23","160","48","F","8/11/1988","0","0","0","0","Swimming"
"Milcah Chemos Cheywa","Kenya","26","162","48","F","2/24/1986","0","0","0","0","Athletics"
"Andrea Chiarabini","Italy","17","170","70","M","3/12/1995","0","0","0","0","Diving"
"Anna Chicherova","Russian Federation","30","180","56","F","7/22/1982","0","0","0","0","Athletics"
"Kenta Chida","Japan","27","170","70","M","8/2/1985","0","0","0","0","Fencing"
"Yu Chin Chien","Taipei (Chinese Taipei)","29","175","72","F","10/24/1982","0","0","0","0","Badminton"
"Marcelo Chierighini","Brazil","21","","","M","1/15/1991","0","0","0","0","Swimming"
"Eilidh Child","Great Britain","25","171","59","F","2/20/1987","0","0","0","0","Athletics"
"Simon Child","New Zealand","24","186","82","M","4/16/1988","0","0","0","0","Hockey"
"Chatuphum Chinnawong","Thailand","19","164","77","M","7/19/1993","0","0","0","0","Weightlifting"
"Zulfiya Chinshanlo","Kazakhstan","19","155","53","F","7/25/1993","1","0","0","1","Weightlifting"
"Rares Daniel Chintoan","Romania","29","189","120","M","1/13/1983","0","0","0","0","Wrestling"
"Mihnea Chioveanu","Romania","24","198","115","M","8/21/1987","0","0","0","0","Water Polo"
"Iosif Chirila","Romania","29","186","91","M","1/5/1983","0","0","0","0","Canoe Sprint"
"Tatiana Chisca","Republic of Moldova","17","174","57","F","7/19/1995","0","0","0","0","Swimming"
"Roderick Chisholm","Australia","38","183","72","M","6/19/1974","0","0","0","0","Rowing"
"Shafiq Chitou","Benin","27","168","","M","5/23/1985","0","0","0","0","Boxing"
"Andreea Chitu","Romania","24","158","52","F","5/7/1988","0","0","0","0","Judo"
"Freedom Chiya","South Africa","33","186","93","M","7/11/1979","0","0","0","0","Beach Volleyball"
"Zdenek Chladek","Czech Republic","22","169","","M","5/25/1990","0","0","0","0","Boxing"
"Karolina Chlewinska","Poland","28","175","64","F","08/11/1983 (POL)","0","0","0","0","Fencing"
"Eunji Cho","Republic of Korea","22","165","63","F","11/30/1989","0","0","0","0","Hockey"
"Hosung Cho","Republic of Korea","38","175","70","M","6/15/1974","0","0","0","0","Cycling - Track"
"Jun-Ho Cho","Republic of Korea","23","165","65","M","12/16/1988","0","0","1","1","Judo"
"Suk Hoon Cho","Republic of Korea","27","177","70","M","5/27/1985","0","0","0","0","Hockey"
"Sungmin Cho","Republic of Korea","25","177","68","M","1/29/1987","0","0","0","0","Sailing"
"Yongseong Cho","Republic of Korea","26","177","72","M","1/25/1986","0","0","0","0","Shooting"
"Andres Chocho","Ecuador","28","165","55","M","11/4/1983","0","0","0","0","Athletics"
"Petra Chocova","Czech Republic","25","169","61","F","8/16/1986","0","0","0","0","Swimming"
"Kunzang Choden","Bhutan","27","158","69","F","8/14/1984","0","0","0","0","Shooting"
"Mi Gyong Choe","Democratic People's Republic  of Korea","21","160","57","F","1/17/1991","0","0","0","0","Football"
"Un Gyong Choe","Democratic People's Republic  of Korea","22","161","63","F","7/29/1990","0","0","0","0","Wrestling"
"Un Ju Choe","Democratic People's Republic  of Korea","21","160","55","F","1/23/1991","0","0","0","0","Football"
"Yong Sim Choe","Democratic People's Republic  of Korea","21","172","62","F","10/13/1990","0","0","0","0","Football"
"Byungchul Choi","Republic of Korea","30","173","70","M","10/24/1981","0","0","1","1","Fencing"
"Eunsook Choi","Republic of Korea","26","169","62","F","28/02/1986 (KOR)","0","0","0","0","Fencing"
"Gwang-Hyeon Choi","Republic of Korea","26","165","60","M","4/16/1986","0","0","0","0","Judo"
"Gyujin Choi","Republic of Korea","27","168","55","M","6/28/1985","0","0","0","0","Wrestling"
"Hye Ra Choi","Republic of Korea","21","165","56","F","5/20/1991","0","0","0","0","Swimming"
"Hyeonju Choi","Republic of Korea","27","172","65","F","8/6/1984","1","0","0","1","Archery"
"Im Jeong Choi","Republic of Korea","31","182","75","F","2/14/1981","0","0","0","0","Handball"
"Injeong Choi","Republic of Korea","22","172","55","F","5/21/1990","0","0","0","0","Fencing"
"Ki Ho Choi","Hong Kong, China","21","173","59","M","5/5/1991","0","0","0","0","Cycling - Mountain Bike, Cycling - Road, Cycling - Track"
